Test,School,Grade,Subject,Percent,Pct60Above
A1,KAP/MS,2,ELA,47,30
A1,KAP/MS,5,ELA,44,24
A1,KAP/MS,6,ELA,58,52
A1,KAP/MS,7,ELA,58,58
A1,KAP/MS,8,ELA,55,46
A1,KCCP,5,ELA,41,14
A1,Anet,2,ELA,46,28
A1,Anet,5,ELA,50,36
A1,Anet,6,ELA,56,46
A1,Anet,7,ELA,61,62
A1,Anet,8,ELA,61,59
A1,KAP/MS,2,Math,78,81
A1,KAP/MS,5,Math,64,61
A1,KAP/MS,6,Math,56,46
A1,KAP/MS,7,Math,42,13
A1,KAP/MS,8,Math,42,17
A1,KCCP,5,Math,43,12
A1,Anet,2,Math,61,53
A1,Anet,5,Math,51,35
A1,Anet,6,Math,48,30
A1,Anet,7,Math,43,17
A1,Anet,8,Math,44,23
A2,KAP/MS,2,ELA,51,41
A2,KAP/MS,5,ELA,56,51
A2,KAP/MS,6,ELA,58,59
A2,KAP/MS,7,ELA,54,42
A2,KAP/MS,8,ELA,59,57
A2,KCCP,5,ELA,53,41
A2,Anet,2,ELA,53,45
A2,Anet,5,ELA,58,52
A2,Anet,6,ELA,54,44
A2,Anet,7,ELA,46,25
A2,Anet,8,ELA,61,60
A2,KAP/MS,2,Math,65,67
A2,KAP/MS,5,Math,51,29
A2,KAP/MS,6,Math,71,74
A2,KAP/MS,7,Math,49,31
A2,KAP/MS,8,Math,48,27
A2,KCCP,5,Math,33,4
A2,Anet,2,Math,61,56
A2,Anet,5,Math,45,21
A2,Anet,6,Math,51,34
A2,Anet,7,Math,49,31
A2,Anet,8,Math,52,38
A1A2,KAP/MS,2,ELA,48,32
A1A2,KAP/MS,5,ELA,50,33
A1A2,KAP/MS,6,ELA,58,55
A1A2,KAP/MS,7,ELA,56,46
A1A2,KAP/MS,8,ELA,57,46
A1A2,KCCP,5,ELA,47,23
A1A2,Anet,2,ELA,50,33
A1A2,Anet,5,ELA,54,38
A1A2,Anet,6,ELA,55,42
A1A2,Anet,7,ELA,54,41
A1A2,Anet,8,ELA,61,57
A1A2,KAP/MS,2,Math,72,79
A1A2,KAP/MS,5,Math,56,41
A1A2,KAP/MS,6,Math,64,68
A1A2,KAP/MS,7,Math,45,12
A1A2,KAP/MS,8,Math,45,17
A1A2,KCCP,5,Math,37,5
A1A2,Anet,2,Math,61,52
A1A2,Anet,5,Math,48,25
A1A2,Anet,6,Math,50,32
A1A2,Anet,7,Math,46,20
A1A2,Anet,8,Math,48,26
A3,KAP/MS,2,ELA,47,30
A3,KAP/MS,5,ELA,44,24
A3,KAP/MS,6,ELA,58,52
A3,KAP/MS,7,ELA,58,58
A3,KAP/MS,8,ELA,55,46
A3,KCCP,5,ELA,41,14
A3,Anet,2,ELA,46,28
A3,Anet,5,ELA,50,36
A3,Anet,6,ELA,56,46
A3,Anet,7,ELA,61,62
A3,Anet,8,ELA,61,59
A3,KAP/MS,2,Math,78,81
A3,KAP/MS,5,Math,64,61
A3,KAP/MS,6,Math,56,46
A3,KAP/MS,7,Math,42,13
A3,KAP/MS,8,Math,42,17
A3,KCCP,5,Math,43,12
A3,Anet,2,Math,61,53
A3,Anet,5,Math,51,35
A3,Anet,6,Math,48,30
A3,Anet,7,Math,43,17
A3,Anet,8,Math,44,23
