Percentile,Student_StartRIT,Student_Growth,Grade,Subject,Growth Season
10,139.17,26.35,1,Mathematics,S2S
20,146.19,24.58,1,Mathematics,S2S
25,148.86,23.91,1,Mathematics,S2S
30,151.25,23.3,1,Mathematics,S2S
35,153.47,22.74,1,Mathematics,S2S
40,155.58,22.21,1,Mathematics,S2S
45,157.61,21.7,1,Mathematics,S2S
48,158.82,21.4,1,Mathematics,S2S
50,159.62,21.19,1,Mathematics,S2S
52,160.42,20.99,1,Mathematics,S2S
55,161.62,20.69,1,Mathematics,S2S
60,163.66,20.18,1,Mathematics,S2S
65,165.77,19.65,1,Mathematics,S2S
70,167.99,19.09,1,Mathematics,S2S
75,170.38,18.48,1,Mathematics,S2S
80,173.05,17.81,1,Mathematics,S2S
85,176.16,17.03,1,Mathematics,S2S
90,180.07,16.04,1,Mathematics,S2S
10,159.83,17.06,2,Mathematics,S2S
20,166.56,15.56,2,Mathematics,S2S
25,169.11,14.99,2,Mathematics,S2S
30,171.41,14.47,2,Mathematics,S2S
35,173.53,14,2,Mathematics,S2S
40,175.55,13.55,2,Mathematics,S2S
45,177.5,13.11,2,Mathematics,S2S
48,178.66,12.86,2,Mathematics,S2S
50,179.42,12.68,2,Mathematics,S2S
52,180.19,12.51,2,Mathematics,S2S
55,181.35,12.26,2,Mathematics,S2S
60,183.3,11.82,2,Mathematics,S2S
65,185.32,11.37,2,Mathematics,S2S
70,187.44,10.89,2,Mathematics,S2S
75,189.74,10.38,2,Mathematics,S2S
80,192.29,9.81,2,Mathematics,S2S
85,195.27,9.15,2,Mathematics,S2S
90,199.02,8.31,2,Mathematics,S2S
10,174.14,13.71,3,Mathematics,S2S
20,180.13,13.05,3,Mathematics,S2S
25,182.4,12.81,3,Mathematics,S2S
30,184.45,12.58,3,Mathematics,S2S
35,186.34,12.38,3,Mathematics,S2S
40,188.14,12.18,3,Mathematics,S2S
45,189.88,11.99,3,Mathematics,S2S
48,190.91,11.88,3,Mathematics,S2S
50,191.59,11.81,3,Mathematics,S2S
52,192.27,11.73,3,Mathematics,S2S
55,193.3,11.62,3,Mathematics,S2S
60,195.04,11.43,3,Mathematics,S2S
65,196.84,11.23,3,Mathematics,S2S
70,198.73,11.03,3,Mathematics,S2S
75,200.78,10.8,3,Mathematics,S2S
80,203.05,10.56,3,Mathematics,S2S
85,205.71,10.27,3,Mathematics,S2S
90,209.04,9.9,3,Mathematics,S2S
10,185.44,10.82,4,Mathematics,S2S
20,191.65,10.52,4,Mathematics,S2S
25,194.01,10.41,4,Mathematics,S2S
30,196.13,10.31,4,Mathematics,S2S
35,198.1,10.21,4,Mathematics,S2S
40,199.96,10.12,4,Mathematics,S2S
45,201.76,10.04,4,Mathematics,S2S
48,202.83,9.99,4,Mathematics,S2S
50,203.54,9.95,4,Mathematics,S2S
52,204.24,9.92,4,Mathematics,S2S
55,205.31,9.87,4,Mathematics,S2S
60,207.11,9.78,4,Mathematics,S2S
65,208.98,9.69,4,Mathematics,S2S
70,210.94,9.6,4,Mathematics,S2S
