id,year,classid,female,male,hispanic,white,black,asian,native,race,freelunch,ell,sped,grade,test,bump,rand,st_math
25789,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,46.36331,2.138275,.2698222,0
27981,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,46.63009,2.846152,.3956016,0
37659,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,49.13105,3.09584,.9477553,0
57455,2010,1,1,0,0,0,1,0,0,"black",1,1,0,6,48.1106,.6784775,.3368995,0
87906,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,48.76275,3.623253,.8875928,0
90902,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,47.22166,2.429764,.8655109,0
95116,2010,1,0,1,0,1,0,0,0,"white",1,0,0,6,49.85751,3.729064,.9888054,0
106703,2010,1,1,0,0,0,1,0,0,"black",1,1,0,6,36.90769,3.245027,.5190431,0
106705,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,50.74558,2.449244,.6104736,0
107622,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,44.3556,2.454705,.5506233,0
110600,2010,1,1,0,0,0,1,0,0,"black",1,1,0,6,32.25926,1.132456,.1713097,0
129161,2010,1,1,0,0,1,0,0,0,"white",1,1,0,6,39.34954,2.081894,.4930789,0
135681,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,32.21537,2.034554,.5538692,0
165298,2010,1,1,0,0,0,0,1,0,"asian",1,1,0,6,47.94437,.5634741,.3873274,0
170237,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,48.55614,3.182932,.694886,0
190868,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,42.07587,2.884838,.4519044,0
192213,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,47.41505,.5509712,.3407611,0
192781,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,50.34976,1.476602,.4179082,0
193404,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,49.74002,.6733853,.9704102,0
212719,2010,1,1,0,0,0,1,0,0,"black",1,1,0,6,46.63186,2.31621,.6815269,0
215183,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,48.73171,2.306886,.0659345,0
215293,2010,1,1,0,1,0,0,0,0,"hispanic",0,0,1,6,47.42693,2.499722,.6309035,0
218409,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,0,6,48.37984,.9831363,.3495363,0
225917,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,47.98679,2.524037,.3397524,0
230436,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,0,6,38.71432,1.810463,.0536583,0
247078,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,31.75698,2.217705,.3286167,0
252577,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,43.33122,1.794278,.7005486,0
276733,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,46.56599,2.126913,.3585429,0
278809,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,41.73653,3.356934,.4924829,0
30634,2010,2,1,0,0,0,0,1,0,"asian",1,0,0,6,52.59726,2.564286,.6890533,0
32045,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,54.55724,3.648338,.7579544,0
34711,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,52.35951,2.268558,.8872607,0
35174,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,55.53576,3.035967,.1454972,0
59832,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,56.93219,1.563522,.1475272,0
74141,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,52.76508,2.705367,.8846886,0
77460,2010,2,0,1,0,0,1,0,0,"black",1,1,0,6,52.90645,2.587817,.6885994,0
81979,2010,2,1,0,1,0,0,0,0,"hispanic",1,0,1,6,53.16793,2.582168,.1699627,0
