id,year,classid,female,male,hispanic,white,black,asian,native,race,freelunch,ell,sped,grade,test,bump,st_math
30490,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,36.8637,3.120616,0
32799,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,49.70572,2.599347,0
36332,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,51.70376,4.021338,0
37628,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,0,6,51.49598,2.573544,0
38421,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,52.03629,1.843612,0
90959,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,51.36516,2.25162,0
107475,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,49.62188,2.840864,0
108963,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,49.21957,.0910702,0
121639,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,43.65826,3.815913,0
159926,2010,1,1,0,0,0,1,0,0,"black",1,1,1,6,38.32734,2.270615,0
160498,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,44.87531,2.441427,0
168678,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,46.22365,3.410525,0
200166,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,39.5774,4.038461,0
209563,2010,1,0,1,0,0,1,0,0,"black",1,1,0,6,46.12775,4.145917,0
211011,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,39.94464,3.381987,0
215969,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,1,6,43.29946,2.295185,0
216185,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,33.40321,4.154697,0
217269,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,47.51403,.1182437,0
220667,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,50.6647,2.763504,0
221111,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,46.1735,3.184772,0
222432,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,1,6,35.21786,2.252948,0
225913,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,48.63349,.8786027,0
248517,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,50.26916,2.434723,0
266524,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,37.43699,3.095011,0
266616,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,0,6,48.02227,4.210289,0
272342,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,44.96254,1.920808,0
273572,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,40.51588,2.753493,0
278480,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,1,6,40.95304,3.854577,0
296705,2010,1,1,0,0,0,0,1,0,"asian",1,1,1,6,44.23811,1.910542,0
1260,2010,2,1,0,0,1,0,0,0,"white",0,0,1,6,57.7486,3.049332,0
10536,2010,2,1,0,1,0,0,0,0,"hispanic",1,0,0,6,55.54055,3.734161,0
15058,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,56.57766,3.105735,0
30082,2010,2,0,1,0,0,1,0,0,"black",1,0,0,6,54.53735,3.505536,0
33658,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,52.53447,2.202544,0
41348,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,52.57016,1.971603,0
49669,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,53.22103,3.668667,0
63611,2010,2,1,0,0,0,1,0,0,"black",1,0,1,6,56.49682,2.467504,0
77464,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,53.05777,1.857506,0
81753,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,58.46276,3.515709,0
89089,2010,2,0,1,0,0,1,0,0,"black",1,1,0,6,55.78679,1.2728,0
92004,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,51.08692,2.792468,0
106190,2010,2,1,0,0,1,0,0,0,"white",1,0,0,6,56.24683,.9059396,0
118661,2010,2,1,0,0,1,0,0,0,"white",1,1,0,6,56.55072,2.121358,0
121022,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,53.09509,2.916489,0
144814,2010,2,1,0,0,1,0,0,0,"white",1,1,0,6,58.90629,2.54914,0
147109,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,57.42991,1.809591,0
147896,2010,2,0,1,0,0,0,0,1,"native",1,0,1,6,52.55337,3.791867,0
149036,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,54.95606,4.738132,0
151613,2010,2,0,1,0,0,1,0,0,"black",0,0,0,6,53.68248,2.738944,0
159586,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,59.75393,1.685585,0
169720,2010,2,0,1,0,0,1,0,0,"black",0,0,0,6,53.43983,-.1098111,0
198238,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,51.38863,2.793354,0
199610,2010,2,0,1,0,0,1,0,0,"black",1,0,0,6,54.46777,2.689322,0
203732,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,54.44527,2.334076,0
222495,2010,2,1,0,1,0,0,0,0,"hispanic",0,0,0,6,57.49664,2.355998,0
222770,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,57.39739,2.974944,0
248632,2010,2,0,1,1,0,0,0,0,"hispanic",1,0,0,6,57.69812,4.086131,0
275110,2010,2,0,1,1,0,0,0,0,"hispanic",1,0,1,6,54.75823,3.304534,0
275361,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,53.94284,2.132002,0
279097,2010,2,0,1,0,0,0,1,0,"asian",1,0,1,6,52.99916,1.327502,0
281498,2010,2,1,0,1,0,0,0,0,"hispanic",1,0,1,6,53.6611,1.747476,0
32812,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,60.27446,3.333347,0
32889,2010,3,0,1,0,0,1,0,0,"black",1,0,0,6,63.14369,.9620075,0
37642,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,60.37018,3.665844,0
38336,2010,3,1,0,1,0,0,0,0,"hispanic",1,0,0,6,60.94912,2.361685,0
53823,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,60.33993,3.488261,0
55074,2010,3,0,1,1,0,0,0,0,"hispanic",1,1,0,6,60.54723,1.060595,0
