id,year,classid,female,male,hispanic,white,black,asian,native,race,freelunch,ell,sped,grade,test,bump,rand,st_math
28575,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,45.8466,1.806362,.8646491,0
38948,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,51.52099,1.474627,.4914083,1
76733,2010,1,1,0,0,0,1,0,0,"black",1,1,0,6,33.62077,3.815913,.2174815,1
84242,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,0,6,53.56734,2.601672,.0503095,1
90606,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,38.29952,1.723543,.4021006,1
123929,2010,1,1,0,0,1,0,0,0,"white",1,1,1,6,53.62707,3.348168,.4055767,1
139651,2010,1,1,0,1,0,0,0,0,"hispanic",0,0,1,6,45.03344,1.320329,.7933737,1
143732,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,49.09145,1.680555,.2484048,1
161316,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,47.88002,2.434723,.8909255,0
167767,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,40.53333,2.84996,.0776201,1
170900,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,46.17032,3.00593,.3092509,1
171640,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,35.4308,2.660203,.9551601,0
179677,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,46.77062,2.947356,.0428435,1
180947,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,46.70582,2.071371,.3511782,1
181786,2010,1,1,0,0,0,1,0,0,"black",1,0,1,6,50.3494,4.038461,.9087788,0
182234,2010,1,1,0,0,0,1,0,0,"black",1,0,0,6,49.18491,1.302205,.8098022,0
185398,2010,1,0,1,0,0,1,0,0,"black",1,1,0,6,41.38454,3.348611,.986606,0
193650,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,54.66041,2.334076,.2779911,1
195014,2010,1,0,1,0,0,1,0,0,"black",1,1,1,6,32.0657,1.443504,.0313842,1
199867,2010,1,0,1,0,0,1,0,0,"black",1,0,1,6,37.38992,3.304534,.0943806,1
204340,2010,1,0,1,0,0,1,0,0,"black",1,0,0,6,56.57015,3.85301,.459273,1
221614,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,41.70329,1.2728,.1286645,1
222301,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,1,6,48.2643,1.669051,.2008575,1
224887,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,45.19175,1.919162,.2492731,1
225913,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,49.40591,2.554613,.7362567,1
228505,2010,1,0,1,1,0,0,0,0,"hispanic",1,0,1,6,49.02508,2.966278,.7196563,1
235500,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,0,6,54.0068,1.490856,.4180993,1
248777,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,0,6,51.91811,3.478365,.8639219,0
281081,2010,1,1,0,1,0,0,0,0,"hispanic",1,0,1,6,51.15908,2.916489,.508795,1
287916,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,1,6,42.86824,3.734161,.348748,1
289284,2010,1,0,1,1,0,0,0,0,"hispanic",1,1,1,6,39.66403,2.244918,.2104192,1
290698,2010,1,1,0,1,0,0,0,0,"hispanic",1,1,0,6,50.30709,2.049961,.1850193,1
23499,2010,2,1,0,0,1,0,0,0,"white",1,0,0,6,55.58064,2.084479,.0321967,1
29308,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,57.42069,3.602913,.5892481,1
32123,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,58.12498,1.82594,.1012618,1
54493,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,56.90875,2.037192,.1789429,1
67723,2010,2,1,0,0,0,1,0,0,"black",1,0,1,6,57.18574,3.009863,.7037763,1
89364,2010,2,0,1,0,0,1,0,0,"black",1,1,0,6,58.62348,1.83761,.5399866,1
103137,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,58.47519,2.840864,.3435207,1
110610,2010,2,0,1,0,0,1,0,0,"black",1,0,0,6,56.33205,1.084546,.9267141,0
111363,2010,2,0,1,0,0,1,0,0,"black",1,0,0,6,57.61953,3.957085,.9940904,0
135683,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,55.35501,3.658204,.8295878,0
144165,2010,2,1,0,0,0,1,0,0,"black",1,0,1,6,54.26128,1.265708,.2867592,1
152229,2010,2,1,0,0,1,0,0,0,"white",1,0,0,6,55.22426,.6799952,.8434626,0
161377,2010,2,1,0,0,0,1,0,0,"black",0,0,0,6,52.98535,2.76699,.8223976,0
164464,2010,2,0,1,0,0,1,0,0,"black",1,0,1,6,51.07047,.1182437,.9995492,0
166625,2010,2,0,1,0,0,0,1,0,"asian",1,0,1,6,58.83021,2.699728,.7123917,1
169373,2010,2,1,0,0,0,1,0,0,"black",1,0,1,6,56.51729,1.845149,.13123,1
171068,2010,2,1,0,0,0,1,0,0,"black",0,0,0,6,57.39782,2.131283,.9518862,0
174805,2010,2,0,1,0,0,1,0,0,"black",1,0,0,6,53.97674,1.53368,.2477671,1
181191,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,60.17498,2.84263,.0331719,1
181887,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,52.29958,3.668667,.9220964,0
185673,2010,2,1,0,0,0,1,0,0,"black",1,0,0,6,54.78391,1.473565,.3781803,1
217931,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,54.7858,1.698308,.0107244,1
222950,2010,2,1,0,1,0,0,0,0,"hispanic",1,1,0,6,58.56594,1.736437,.3174318,1
270225,2010,2,0,1,0,0,0,1,0,"asian",1,1,0,6,57.43709,2.689322,.8730982,0
275347,2010,2,0,1,0,0,0,1,0,"asian",1,0,0,6,56.29194,3.094344,.8648384,0
282664,2010,2,0,1,1,0,0,0,0,"hispanic",1,1,0,6,58.1933,2.063793,.8653081,0
285248,2010,2,0,1,1,0,0,0,0,"hispanic",1,0,0,6,57.92441,2.771089,.5463948,1
297543,2010,2,0,1,0,0,0,1,0,"asian",1,0,1,6,56.86788,1.132597,.1866522,1
35414,2010,3,0,1,0,0,0,1,0,"asian",0,1,0,6,61.02606,2.987768,.4826165,1
57981,2010,3,0,1,0,1,0,0,0,"white",1,0,0,6,62.95842,3.308059,.6255045,1
65810,2010,3,0,1,1,0,0,0,0,"hispanic",1,1,0,6,62.22542,2.64972,.9932444,0
70872,2010,3,1,0,0,0,1,0,0,"black",1,0,0,6,59.90317,2.626242,.9784909,0
122064,2010,3,1,0,1,0,0,0,0,"hispanic",1,1,0,6,65.99122,4.154697,.2672819,1
