School,RespondentID,CollectorID,IP Address,Expectations Known,Have Needed Materials,Do Best,Praise in Last Week,Someone Cares,Development encouraged,Mu Opinions Matter,Mission is Important,Hi-Quality Coworkers,Best Friend,Progress Check-ins,Opportunity to Learn 
KAPS,2324605354,35570919,24.98.45.80,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
KAPS,2320782082,35570919,66.146.204.74,Neutral,Agree,Neutral,Neural,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree
KAPS,2320704285,35570919,66.146.204.74,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Disagree,Agree,Neutral
KAPS,2318963439,35570919,75.3.114.207,Strongly Agree,Strongly Agree,Agree,Neural,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree
KAPS,2317099863,35570919,99.138.109.120,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree
KAPS,2316935197,35570919,66.146.204.74,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree
KAPS,2315594032,35570919,66.146.204.74,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree
KAPS,2315588030,35570919,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Strongly Agree
KAPS,2314989527,35570919,24.148.86.49,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
KAPS,2314856344,35570919,66.146.204.74,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree
KAPS,2314800999,35570919,66.146.204.74,Agree,Agree,Neutral,Neural,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral
KAPS,2314778871,35570919,66.146.204.74,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAPS,2314746451,35570919,66.146.204.74,Agree,Agree,Agree,Neural,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree
KAPS,2314521861,35570919,66.146.204.74,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree
KAPS,2314183754,35570919,66.146.204.74,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree
KAPS,2313671282,35570919,66.146.204.74,Strongly Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree
KAPS,2313573033,35570919,66.146.204.74,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
KAPS,2313556137,35570919,66.146.204.74,Strongly Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Strongly Disagree,Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree
KAPS,2313532892,35570919,66.146.204.74,Strongly Agree,Agree,Agree,Neural,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Disagree,Neutral
