School,RespondentID,CollectorID,IP Address,Expectations Known,Have Needed Materials,Do Best,Praise in Last Week,Someone Cares,Development encouraged,Mu Opinions Matter,Mission is Important,Hi-Quality Coworkers,Best Friend,Progress Check-ins,Opportunity to Learn 
KAP,2904635021,46485708,99.120.120.131,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAP,2904587986,46485708,24.13.189.206,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAP,2900930945,46485708,66.146.204.74,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral
KAP,2900354946,46485708,66.146.204.74,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
KAP,2899579273,46485708,50.140.149.251,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree
KAP,2899538633,46485708,98.223.148.150,Agree,Agree,Agree,Neural,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree
KAP,2899452039,46485708,50.140.148.139,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
KAP,2899158388,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAP,2899093455,46485708,66.146.204.74,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAP,2899011023,46485708,174.238.232.87,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree
KAP,2898989268,46485708,70.194.69.2,Strongly Agree,Strongly Agree,Strongly Agree,Neural,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree
KAP,2898876928,46485708,67.167.212.171,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
KAP,2898868540,46485708,66.146.204.74,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
KAP,2898858987,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree
KAP,2898817192,46485708,66.146.204.74,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
