School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
Youth Connection Charter School  -  ASPIRA - Antonia Pantoja High school,400125,60641,Avondale,39,20,31
Academy for Global Citizenship ES,400009,60632,Garfield Ridge,1,1,23
"Architecture, Construction, and Engineering (ACE) Technical ",400010,60644,Washington Park,5,3,28
Alain Locke Elem. Academy,400011,60612,East Garfield Park,10,5,28
Amandla HS,400012,60621,Englewood,32,16,6
ASPIRA - Early College,400013,60618,Avondale,39,20,31
ASPIRA - Mirta Ramirez Computer Science,400015,60647,West Town,4,2,1
ASPIRA - Haugan Campus,400017,60625,Albany Park,40,20,39
Austin Business and Entrepreneurship Acad. HS,400018,60644,Austin,8,4,28
Bronzeville Lighthouse ES,400019,60609,Grand Boulevard,5,3,3
Catalyst - Howland ES,400020,60623,North Lawndale,9,5,24
Catalyst - Circle Rock ES,400021,60644,Austin,8,4,29
Chicago HS for the Arts,400022,60616,Douglas,26,13,4
Chicago Intl (CICS) - Avalon / South Shore,400023,60619,Avalon Park,33,17,8
Chicago Intl (CICS) - Basil,400024,60609,Englewood,6,3,16
Chicago Intl (CICS) - Bucktown,400025,60647,Logan Square,11,6,32
Chicago Intl (CICS) -  Loomis Primary,400026,60643,Washington Heights,27,14,21
Chicago Intl (CICS) - Irving Park,400027,60618,Irving Park,40,20,33
Chicago Intl (CICS) - Prairie,400028,60628,West Pullman,34,17,9
Chicago Intl (CICS) - Washington Park,400029,60637,Washington Park,5,3,20
Chicago Intl (CICS) - West Belden,400030,60639,Belmont Cragin,3,2,37
Chicago Intl (CICS) - Wrightwood,400031,60652,Ashburn,31,16,18
Chicago Intl (CICS) - Ralph Ellison,400032,60620,Auburn Gresham,31,16,18
Chicago Intl (CICS) - Longwood,400033,60643,Washington Heights,27,14,21
Chicago Intl (CICS) - Northtown,400034,60659,North Park,15,8,39
Chicago Math and Science Academy HS,400035,60626,Rogers Park,14,7,49
Chicago Virtual HS,400036,60607,Near West Side,9,5,2
Community Services West Acad.,400038,60623,North Lawndale,9,5,24
Erie ES,400039,60622,West Town,4,2,26
Frazier Preparatory Acad. ES,400040,60624,North Lawndale,9,5,24
Galapagos ES,400041,60651,Humboldt Park,10,5,27
Henry Ford Academy Power House HS,400042,60624,North Lawndale,9,5,24
Hope Institute Learning Acad.,400043,60612,Near West Side,10,5,27
KIPP Ascend Academy ES,400044,60623,North Lawndale,9,5,24
Kwame Nkrumah Academy ES,400045,60628,Pullman,28,14,34
LEARN - Romano Butler Campus,400046,60624,North Lawndale,9,5,24
LEARN - North Lawndale,400047,60612,East Garfield Park,10,5,28
LEARN - Excel,400048,60612,Near West Side,9,5,2
Legacy ES,400049,60623,North Lawndale,9,5,24
Namaste ES,400050,60609,Mckinley Park,2,1,11
Noble St. - Noble Street College Prep,400051,60642,West Town,4,2,27
Noble St. - Gary Comer College Prep,400052,60642,Greater Grand Crossing,5,3,5
Noble St. - Golder College Prep,400053,60642,West Town,4,2,27
Noble St. - Pritzker College Prep,400054,60639,Hermosa,4,2,30
Noble St. - Rauner College Prep,400055,60642,West Town,4,2,27
Noble St. - Rowe-Clark Math & Sci Acad,400056,60651,Humboldt Park,10,5,27
Noble St. - UIC College Prep,400057,60608,Near West Side,9,5,2
North Lawndale College Prep - Christiana,400058,60623,North Lawndale,9,5,24
North Lawndale College Prep - Collins,400059,60623,North Lawndale,9,5,24
Passages ES,400060,60660,Edgewater,13,7,40
Perspectives Leadership Academy,400061,60620,Auburn Gresham,31,16,21
