grade_start,grade_end,rit_start,typical_growth_mean,sd_growth,measurementscale,season_start,season_end
2,3,100.00,17.27033883,8.111437132,Reading,Spring,Spring
2,3,100.10,17.26620852,8.104073445,Reading,Spring,Spring
2,3,100.20,17.26207821,8.096710098,Reading,Spring,Spring
2,3,100.30,17.2579479,8.089347093,Reading,Spring,Spring
2,3,100.40,17.25381758,8.081984431,Reading,Spring,Spring
2,3,100.50,17.24968727,8.074622111,Reading,Spring,Spring
2,3,100.60,17.24555696,8.067260136,Reading,Spring,Spring
2,3,100.70,17.24142665,8.059898507,Reading,Spring,Spring
2,3,100.80,17.23729633,8.052537223,Reading,Spring,Spring
2,3,100.90,17.23316602,8.045176287,Reading,Spring,Spring
2,3,101.00,17.22903571,8.037815698,Reading,Spring,Spring
2,3,101.10,17.2249054,8.030455459,Reading,Spring,Spring
2,3,101.20,17.22077508,8.02309557,Reading,Spring,Spring
2,3,101.30,17.21664477,8.015736032,Reading,Spring,Spring
2,3,101.40,17.21251446,8.008376845,Reading,Spring,Spring
2,3,101.50,17.20838415,8.001018012,Reading,Spring,Spring
2,3,101.60,17.20425383,7.993659532,Reading,Spring,Spring
2,3,101.70,17.20012352,7.986301408,Reading,Spring,Spring
2,3,101.80,17.19599321,7.978943639,Reading,Spring,Spring
2,3,101.90,17.1918629,7.971586227,Reading,Spring,Spring
2,3,102.00,17.18773258,7.964229173,Reading,Spring,Spring
2,3,102.10,17.18360227,7.956872477,Reading,Spring,Spring
2,3,102.20,17.17947196,7.949516142,Reading,Spring,Spring
2,3,102.30,17.17534165,7.942160167,Reading,Spring,Spring
2,3,102.40,17.17121133,7.934804554,Reading,Spring,Spring
2,3,102.50,17.16708102,7.927449304,Reading,Spring,Spring
2,3,102.60,17.16295071,7.920094418,Reading,Spring,Spring
2,3,102.70,17.1588204,7.912739896,Reading,Spring,Spring
2,3,102.80,17.15469009,7.905385741,Reading,Spring,Spring
2,3,102.90,17.15055977,7.898031952,Reading,Spring,Spring
2,3,103.00,17.14642946,7.890678531,Reading,Spring,Spring
2,3,103.10,17.14229915,7.883325479,Reading,Spring,Spring
2,3,103.20,17.13816884,7.875972798,Reading,Spring,Spring
2,3,103.30,17.13403852,7.868620487,Reading,Spring,Spring
2,3,103.40,17.12990821,7.861268548,Reading,Spring,Spring
2,3,103.50,17.1257779,7.853916982,Reading,Spring,Spring
2,3,103.60,17.12164759,7.846565791,Reading,Spring,Spring
2,3,103.70,17.11751727,7.839214974,Reading,Spring,Spring
2,3,103.80,17.11338696,7.831864534,Reading,Spring,Spring
2,3,103.90,17.10925665,7.824514471,Reading,Spring,Spring
2,3,104.00,17.10512634,7.817164787,Reading,Spring,Spring
2,3,104.10,17.10099602,7.809815482,Reading,Spring,Spring
2,3,104.20,17.09686571,7.802466558,Reading,Spring,Spring
2,3,104.30,17.0927354,7.795118015,Reading,Spring,Spring
2,3,104.40,17.08860509,7.787769855,Reading,Spring,Spring
2,3,104.50,17.08447477,7.780422078,Reading,Spring,Spring
2,3,104.60,17.08034446,7.773074687,Reading,Spring,Spring
2,3,104.70,17.07621415,7.765727681,Reading,Spring,Spring
2,3,104.80,17.07208384,7.758381063,Reading,Spring,Spring
2,3,104.90,17.06795352,7.751034832,Reading,Spring,Spring
2,3,105.00,17.06382321,7.743688991,Reading,Spring,Spring
2,3,105.10,17.0596929,7.73634354,Reading,Spring,Spring
2,3,105.20,17.05556259,7.728998481,Reading,Spring,Spring
2,3,105.30,17.05143228,7.721653814,Reading,Spring,Spring
2,3,105.40,17.04730196,7.714309541,Reading,Spring,Spring
2,3,105.50,17.04317165,7.706965663,Reading,Spring,Spring
2,3,105.60,17.03904134,7.69962218,Reading,Spring,Spring
2,3,105.70,17.03491103,7.692279095,Reading,Spring,Spring
2,3,105.80,17.03078071,7.684936408,Reading,Spring,Spring
2,3,105.90,17.0266504,7.677594121,Reading,Spring,Spring
2,3,106.00,17.02252009,7.670252234,Reading,Spring,Spring
2,3,106.10,17.01838978,7.662910748,Reading,Spring,Spring
2,3,106.20,17.01425946,7.655569666,Reading,Spring,Spring
2,3,106.30,17.01012915,7.648228987,Reading,Spring,Spring
