grade_start,grade_end,rit_start,typical_growth_mean,sd_growth,measurementscale,season_start,season_end
2,3,100.0,33.83536619,8.111437132,Reading,Spring,Spring
2,3,100.1,33.80979047,8.104073445,Reading,Spring,Spring
2,3,100.2,33.78421475,8.096710098,Reading,Spring,Spring
2,3,100.3,33.75863903,8.089347093,Reading,Spring,Spring
2,3,100.4,33.73306331,8.081984431,Reading,Spring,Spring
2,3,100.5,33.70748758,8.074622111,Reading,Spring,Spring
2,3,100.6,33.68191186,8.067260136,Reading,Spring,Spring
2,3,100.7,33.65633614,8.059898507,Reading,Spring,Spring
2,3,100.8,33.63076042,8.052537223,Reading,Spring,Spring
2,3,100.9,33.6051847,8.045176287,Reading,Spring,Spring
2,3,101.0,33.57960898,8.037815698,Reading,Spring,Spring
2,3,101.1,33.55403325,8.030455459,Reading,Spring,Spring
2,3,101.2,33.52845753,8.02309557,Reading,Spring,Spring
2,3,101.3,33.50288181,8.015736032,Reading,Spring,Spring
2,3,101.4,33.47730609,8.008376845,Reading,Spring,Spring
2,3,101.5,33.45173037,8.001018012,Reading,Spring,Spring
2,3,101.6,33.42615465,7.993659532,Reading,Spring,Spring
2,3,101.7,33.40057892,7.986301408,Reading,Spring,Spring
2,3,101.8,33.3750032,7.978943639,Reading,Spring,Spring
2,3,101.9,33.34942748,7.971586227,Reading,Spring,Spring
2,3,102.0,33.32385176,7.964229173,Reading,Spring,Spring
2,3,102.1,33.29827604,7.956872477,Reading,Spring,Spring
2,3,102.2,33.27270032,7.949516142,Reading,Spring,Spring
2,3,102.3,33.2471246,7.942160167,Reading,Spring,Spring
2,3,102.4,33.22154887,7.934804554,Reading,Spring,Spring
2,3,102.5,33.19597315,7.927449304,Reading,Spring,Spring
2,3,102.6,33.17039743,7.920094418,Reading,Spring,Spring
2,3,102.7,33.14482171,7.912739896,Reading,Spring,Spring
2,3,102.8,33.11924599,7.905385741,Reading,Spring,Spring
2,3,102.9,33.09367027,7.898031952,Reading,Spring,Spring
2,3,103.0,33.06809454,7.890678531,Reading,Spring,Spring
2,3,103.1,33.04251882,7.883325479,Reading,Spring,Spring
2,3,103.2,33.0169431,7.875972798,Reading,Spring,Spring
2,3,103.3,32.99136738,7.868620487,Reading,Spring,Spring
2,3,103.4,32.96579166,7.861268548,Reading,Spring,Spring
2,3,103.5,32.94021594,7.853916982,Reading,Spring,Spring
2,3,103.6,32.91464021,7.846565791,Reading,Spring,Spring
2,3,103.7,32.88906449,7.839214974,Reading,Spring,Spring
2,3,103.8,32.86348877,7.831864534,Reading,Spring,Spring
2,3,103.9,32.83791305,7.824514471,Reading,Spring,Spring
