grade,measurementscale,variable,value
,Reading,sd_growth,1.6548194
,Mathematics,sd_growth,2.4531434
2,Reading,sd_attainment,5.82
3,Reading,sd_attainment,5.57
4,Reading,sd_attainment,5.46
5,Reading,sd_attainment,5.82
6,Reading,sd_attainment,5.42
7,Reading,sd_attainment,5.63
8,Reading,sd_attainment,5.79
,Reading,sd_attainment,4.9111337
2,Mathematics,sd_attainment,5.34
3,Mathematics,sd_attainment,5.46
4,Mathematics,sd_attainment,6.11
5,Mathematics,sd_attainment,6.62
6,Mathematics,sd_attainment,6.47
7,Mathematics,sd_attainment,6.76
8,Mathematics,sd_attainment,7.22
,Mathematics,sd_attainment,5.5997692
2,Reading,mean_attainment,186.7
3,Reading,mean_attainment,197.8
4,Reading,mean_attainment,204.6
5,Reading,mean_attainment,211.1
6,Reading,mean_attainment,215.6
7,Reading,mean_attainment,219.2
8,Reading,mean_attainment,222.2
2,Mathematics,mean_attainment,189.2
3,Mathematics,mean_attainment,202.2
4,Mathematics,mean_attainment,210.3
5,Mathematics,mean_attainment,219.1
6,Mathematics,mean_attainment,223.9
7,Mathematics,mean_attainment,229
8,Mathematics,mean_attainment,232
3,Reading,grade_dummy,-4.89886
4,Reading,grade_dummy,-4.24598
5,Reading,grade_dummy,-1.81953
6,Reading,grade_dummy,-0.34371
7,Reading,grade_dummy,-0.87584
8,Reading,grade_dummy,0
3,Mathematics,grade_dummy,-2.11454
4,Mathematics,grade_dummy,-1.44296
5,Mathematics,grade_dummy,-0.43114
6,Mathematics,grade_dummy,0.94745
7,Mathematics,grade_dummy,0.235
8,Mathematics,grade_dummy,0
,Reading,alpha,40.12476
,Mathematics,alpha,24.72433
,Reading,beta,0.82178
,Mathematics,beta,0.89331
